Категория;URL категории;Товар;Вариант;Описание;Цена;URL;Изображение;Артикул;Количество;Активность;Заголовок [SEO];Ключевые слова [SEO];Описание [SEO];Старая цена;Рекомендуемый;Новый;Сортировка;Вес;Связанные артикулы;Смежные категории;Ссылка на товар;Валюта;Свойства;id
Межкомнатные двери/Verto/Классик;mezhkomnatnye-dveri-vinnica/verto/klassik;Дверне полотно 1.1;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «SIMPLEX», «Verto-CELL»,&nbsp«UNI-MAT» или «RESIST».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезирован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno 1.1;1.1-1-306x350.jpg[:param:][alt=Дверне полотно 1.1][title=Дверне полотно 1.1];;-1;1;Межкомнатные двери Verto Классик Дверне полотно 1.1;Межкомнатные двери Verto Классик модель 1.1 купить, Межкомнатные, двери, Verto, Классик, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Классик модель 1.1;;0;0;3847;15;;;;UAH;;3845
Межкомнатные двери/Verto/Классик;mezhkomnatnye-dveri-vinnica/verto/klassik;Дверне полотно 1А.1;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «SIMPLEX», «Verto-CELL»,&nbsp«UNI-MAT» или «RESIST».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезирован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno 1a.1;1а.1-1-306x350.jpg[:param:][alt=Дверне полотно 1А.1][title=Дверне полотно 1А.1];;-1;1;Межкомнатные двери Verto Классик Дверне полотно 1А.1;Межкомнатные двери Verto Классик модель 1А.1 купить, Межкомнатные, двери, Verto, Классик, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Классик модель 1А.1;;0;0;3848;15;;;;UAH;;3845
Межкомнатные двери/Verto/Классик;mezhkomnatnye-dveri-vinnica/verto/klassik;Дверне полотно 2.0;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «SIMPLEX», «Verto-CELL»,&nbsp«UNI-MAT» или «RESIST».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезирован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno 2.0;2.0-306x350.jpg[:param:][alt=Дверне полотно 2.0][title=Дверне полотно 2.0];;-1;1;Межкомнатные двери Verto Классик Дверне полотно 2.0;Межкомнатные двери Verto Классик модель 2.0 купить, Межкомнатные, двери, Verto, Классик, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Классик модель 2.0;;0;0;3849;15;;;;UAH;;3845
Межкомнатные двери/Verto/Классик;mezhkomnatnye-dveri-vinnica/verto/klassik;Дверне полотно 2.1;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «SIMPLEX», «Verto-CELL»,&nbsp«UNI-MAT» или «RESIST».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезирован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno 2.1;2.1-1-306x350.jpg[:param:][alt=Дверне полотно 2.1][title=Дверне полотно 2.1];;-1;1;Межкомнатные двери Verto Классик Дверне полотно 2.1;Межкомнатные двери Verto Классик модель 2.1 купить, Межкомнатные, двери, Verto, Классик, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Классик модель 2.1;;0;0;3850;15;;;;UAH;;3845
Межкомнатные двери/Verto/Классик;mezhkomnatnye-dveri-vinnica/verto/klassik;Дверне полотно 2А.1;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «SIMPLEX», «Verto-CELL»,&nbsp«UNI-MAT» или «RESIST».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезирован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno 2a.1;2а.2-1-306x350.jpg[:param:][alt=Дверне полотно 2А.1][title=Дверне полотно 2А.1];;-1;1;Межкомнатные двери Verto Классик Дверне полотно 2А.1;Межкомнатные двери Verto Классик модель 2А.1 купить, Межкомнатные, двери, Verto, Классик, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Классик модель 2А.1;;0;0;3851;15;;;;UAH;;3845
Межкомнатные двери/Verto/Классик;mezhkomnatnye-dveri-vinnica/verto/klassik;Дверне полотно 3.0;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦІЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рами полотна виготовлений з соснового бруса, зрощеного по довжині «мікрошипом».</li>  <li>Заповнення полотна складається з горизонтальних та вертикальних брусків та вставок.</li> </ul> <p><strong>ПОКРИТТЯ</strong></p> <ul>  <li>Дверне полотно обклеєно покриттям «Verto-CELL», «UNI-MAT», «RESIST», «Verto LINE-3D» або «ЕКОШПОН».</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностулкові і двостулкові у всіх моделях.</li>  <li>Всі моделі можуть бути виконані під розсувну систему – без фурнітури і чверті, нижній торець фрезерований під направляючий елемент, що кріпиться до підлоги.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno 3.0;Лада-В-30-350x350.png[:param:][alt=Дверне полотно 3.0][title=Дверне полотно 3.0];;-1;1;Межкомнатные двери Verto Классик Дверне полотно 3.0;Межкомнатные двери Verto Классик модель 3.0 купить, Межкомнатные, двери, Verto, Классик, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Классик модель 3.0;;0;0;3852;15;;;;UAH;;3845
Межкомнатные двери/Verto/Классик;mezhkomnatnye-dveri-vinnica/verto/klassik;Дверне полотно 3.1;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «SIMPLEX», «Verto-CELL»,&nbsp«UNI-MAT» или «RESIST».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезирован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno 3.1;3.1-306x350.jpg[:param:][alt=Дверне полотно 3.1][title=Дверне полотно 3.1];;-1;1;Межкомнатные двери Verto Классик Дверне полотно 3.1;Межкомнатные двери Verto Классик модель 3.1 купить, Межкомнатные, двери, Verto, Классик, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Классик модель 3.1;;0;0;3853;15;;;;UAH;;3845
Межкомнатные двери/Verto/Стандарт;mezhkomnatnye-dveri-vinnica/verto/standart;Дверне полотно Стандарт 1A;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «SIMPLEX», «VERTO-CELL», «UNI-MAT».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезерован под направляющий элемент, крепящийся к полу.</li> </ul> <h4></h4> <p>&nbsp</p></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno standart 1a;Стандарт-1а-350x350.png[:param:][alt=Дверне полотно Стандарт 1A][title=Дверне полотно Стандарт 1A];;-1;1;Межкомнатные двери Verto Стандарт Дверне полотно Стандарт 1A;Межкомнатные двери Verto Стандарт модель Стандарт 1A купить, Межкомнатные, двери, Verto, Стандарт, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Стандарт модель Стандарт 1A;;0;0;3854;15;;;;UAH;;3845
Межкомнатные двери/Verto/Стандарт;mezhkomnatnye-dveri-vinnica/verto/standart;Дверне полотно Стандарт 1Б;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «Simplex»,«VERTO-CELL»,«UNI-MAT».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезерован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno standart 1b;Стандарт-1б-350x350.png[:param:][alt=Дверне полотно Стандарт 1Б][title=Дверне полотно Стандарт 1Б];;-1;1;Межкомнатные двери Verto Стандарт Дверне полотно Стандарт 1Б;Межкомнатные двери Verto Стандарт модель Стандарт 1Б купить, Межкомнатные, двери, Verto, Стандарт, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Стандарт модель Стандарт 1Б;;0;0;3855;15;;;;UAH;;3845
Межкомнатные двери/Verto/Стандарт;mezhkomnatnye-dveri-vinnica/verto/standart;Дверне полотно Стандарт 2А;;"<div itemprop=""""description""""> <p><strong>КОНСТРУКЦИЯ ПОЛОТНА</strong></p> <ul>  <li>Каркас рамы полотна изготовлен из соснового бруса, срощенного по длине «микрошипом».</li>  <li>Заполнение полотна: стабилизирующий сотовый наполнитель или трубчатое ДСП заполнение.</li>  <li>Рама вместе с наполнителем оклеена с двух сторон плитами ХДФ.</li>  <li>Оба торца полотна и верх оклеены кромочной лентой под цвет полотна.</li> </ul> <p><strong>ПОКРЫТИЕ</strong></p> <ul>  <li>Дверное полотно оклеено покрытием «Simplex», «VERTO-CELL», «UNI-MAT».</li>  <li>Рамка по периметру остекления (МДФ) оклеена под цвет полотна.</li> </ul> <p><strong>МОДЕЛЬ</strong></p> <ul>  <li>Одностворчатые и двустворчатые во всех моделях.</li>  <li>Все модели могут быть исполнены под раздвижную систему – без фурнитуры и четверти, нижний торец фрезерован под направляющий элемент, крепящийся к полу.</li> </ul></div>";0;mezhkomnatnye-dveri-vinnica-verto-dverne polotno standart 2a;Стандарт-2а-350x350.png[:param:][alt=Дверне полотно Стандарт 2А][title=Дверне полотно Стандарт 2А];;-1;1;Межкомнатные двери Verto Стандарт Дверне полотно Стандарт 2А;Межкомнатные двери Verto Стандарт модель Стандарт 2А купить, Межкомнатные, двери, Verto, Стандарт, Купить в Виннице межкомнатные двери;Купить в Виннице межкомнатные двери изготовитель Verto колекция Стандарт модель Стандарт 2А;;0;0;3856;15;;;;UAH;;3845
